Date,Close,Change,Pct_Change,Volume,Org_Volume,Foreign_Volume,Foreign_Count,Foreign_Pct
2015-08-12,92800,700,0.76,577495,-63720,158868,34906612,37.75
2015-08-11,92100,100,-0.11,550752,-36950,22190,34747744,37.58
2015-08-10,92200,3800,-3.96,377629,-84907,-1962,34739524,37.57
2015-08-09,92200,3800,-3.96,377629,-84907,-1962,34739524,37.57
2015-08-08,92200,3800,-3.96,377629,-84907,-1962,34739524,37.57
2015-08-07,96000,200,0.21,204543,-68296,64062,34741486,37.57
2015-08-06,95800,300,-0.31,273377,-39798,57135,34677424,37.50
2015-08-05,96100,1400,1.48,299008,-87713,108489,34620289,37.44
2015-08-04,94700,1700,1.83,450591,-129996,185848,34511800,37.32
2015-08-03,93000,6500,-6.53,636088,-214363,81119,34341112,37.14
2015-08-02,93000,6500,-6.53,636088,-214363,81119,34341112,37.14
2015-08-01,93000,6500,-6.53,636088,-214363,81119,34341112,37.14
2015-07-31,99500,1000,-1.00,432624,-99595,31377,34261263,37.05
2015-07-30,100500,2500,2.55,336421,-42765,64389,34230886,37.02
2015-07-29,98000,1100,-1.11,362363,-77116,37968,34166497,36.95
2015-07-28,99100,800,0.81,322258,-28629,33300,34128529,36.91
2015-07-27,98300,600,0.61,464513,-122141,160474,34108691,36.89
2015-07-26,98300,600,0.61,464513,-122141,160474,34108691,36.89
2015-07-25,98300,600,0.61,464513,-122141,160474,34108691,36.89
2015-07-24,97700,3300,-3.27,622377,-148811,72908,33956345,36.72
2015-07-23,101000,7500,-6.91,1319478,-447755,-41081,33854199,36.61
2015-07-22,108500,1500,1.40,646476,-139355,52758,33902265,36.66
2015-07-21,107000,2000,-1.83,430918,-108371,-5334,33848237,36.61
2015-07-20,109000,2000,-1.80,292163,-43719,-26788,33854841,36.61
2015-07-19,109000,2000,-1.80,292163,-43719,-26788,33854841,36.61
2015-07-18,109000,2000,-1.80,292163,-43719,-26788,33854841,36.61
2015-07-17,111000,3500,3.26,473943,12865,112700,33881629,36.64
2015-07-16,107500,1500,-1.38,323319,-136477,44341,33768929,36.52
2015-07-15,109000,2000,1.87,457929,-54242,104569,33723588,36.47
2015-07-14,107000,2500,-2.28,462461,-133917,45824,33620299,36.36
2015-07-13,109500,500,0.46,390552,-152779,128584,33587475,36.32
2015-07-12,109500,500,0.46,390552,-152779,128584,33587475,36.32
2015-07-11,109500,500,0.46,390552,-152779,128584,33587475,36.32
2015-07-10,109000,0,0.00,406603,-179331,104211,33458891,36.19
2015-07-09,109000,1000,0.93,493930,-113276,103225,33356458,36.07
2015-07-08,108000,5500,-4.85,517046,-170933,55791,33254257,35.96
2015-07-07,113500,2000,1.79,813077,-292436,322531,33199736,35.90
2015-07-06,111500,7500,-6.30,965161,-482721,139276,32877205,35.56
2015-07-05,111500,7500,-6.30,965161,-482721,139276,32877205,35.56
2015-07-04,111500,7500,-6.30,965161,-482721,139276,32877205,35.56
2015-07-03,119000,1500,-1.24,341082,-111551,88643,32737929,35.41
2015-07-02,120500,2000,-1.63,428691,-114554,61743,32649286,35.31
2015-07-01,122500,500,0.41,258660,-39680,42376,32585765,35.24
2015-06-30,122000,1500,1.24,401679,-29053,77153,32543389,35.20
2015-06-29,120500,6500,-5.12,527976,-166421,83604,32466108,35.11
2015-06-28,120500,6500,-5.12,527976,-166421,83604,32466108,35.11
2015-06-27,120500,6500,-5.12,527976,-166421,83604,32466108,35.11
2015-06-26,127000,0,0.00,236954,-4715,117893,32382504,35.02
2015-06-25,127000,1000,0.79,261489,20774,6590,32264611,34.89
2015-06-24,126000,2000,-1.56,278316,10638,-15027,32258021,34.89
2015-06-23,128000,4500,3.64,320817,72961,49099,32271512,34.90
2015-06-22,123500,3000,-2.37,319377,-83125,35770,32222413,34.85
2015-06-21,123500,3000,-2.37,319377,-83125,35770,32222413,34.85
2015-06-20,123500,3000,-2.37,319377,-83125,35770,32222413,34.85
2015-06-19,126500,500,-0.39,516383,104431,-41383,32177995,34.80
2015-06-18,127000,2500,2.01,652921,413981,-351543,32219378,34.84
2015-06-17,124500,3500,2.89,463147,199485,-81641,32569385,35.22
2015-06-16,121000,1500,-1.22,409250,116676,-72212,32649746,35.31
